id;Watched date;Name;Year;Genre;Runtime;Female directed;Country;Rewatch?;Like?;Rating;Mean rating;Total likes;Total reviews
52;20/2/24;American Hustle;2013;Crime;138;False;USA;False;False;4;3,3;78923;21792
52;20/2/24;American Hustle;2013;Drama;138;False;USA;False;False;4;3,3;78923;21792
53;14/2/24;Mean Girls;2024;Comedy;112;True;USA;False;False;3;2,7;92803;190237
54;21/2/24;Uptown Girls;2003;Drama;92;False;USA;False;False;4;3,8;67997;34568
54;21/2/24;Uptown Girls;2003;Comedy;92;False;USA;False;False;4;3,8;67997;34568
55;22/2/24;Orphan;2009;Horror;123;False;Canada;False;False;5;3,3;88760;36363
55;22/2/24;Orphan;2009;Horror;123;False;France;False;False;5;3,3;88760;36363
55;22/2/24;Orphan;2009;Horror;123;False;Germany;False;False;5;3,3;88760;36363
55;22/2/24;Orphan;2009;Horror;123;False;USA;False;False;5;3,3;88760;36363
55;22/2/24;Orphan;2009;Mystery;123;False;Canada;False;False;5;3,3;88760;36363
55;22/2/24;Orphan;2009;Mystery;123;False;France;False;False;5;3,3;88760;36363
55;22/2/24;Orphan;2009;Mystery;123;False;Germany;False;False;5;3,3;88760;36363
55;22/2/24;Orphan;2009;Mystery;123;False;USA;False;False;5;3,3;88760;36363
55;22/2/24;Orphan;2009;Thriller;123;False;Canada;False;False;5;3,3;88760;36363
55;22/2/24;Orphan;2009;Thriller;123;False;France;False;False;5;3,3;88760;36363
55;22/2/24;Orphan;2009;Thriller;123;False;Germany;False;False;5;3,3;88760;36363
55;22/2/24;Orphan;2009;Thriller;123;False;USA;False;False;5;3,3;88760;36363
56;23/2/24;Bodies Bodies Bodies;2022;Mystery;95;True;USA;False;False;5;3,3;220333;240337
56;23/2/24;Bodies Bodies Bodies;2022;Horror;95;True;USA;False;False;5;3,3;220333;240337
56;23/2/24;Bodies Bodies Bodies;2022;Comedy;95;True;USA;False;False;5;3,3;220333;240337
57;23/2/24;Step Up;2006;Romance;104;True;USA;False;False;4,5;3;23630;8670
57;23/2/24;Step Up;2006;Crime;104;True;USA;False;False;4,5;3;23630;8670
